ID_Venta,Fecha,Región,País,Ciudad,Categoría,Producto,Canal,Vendedor,Unidades,Precio_Unitario,Descuento_%,Costo_Unitario,Satisfacción,Método_Pago,Año,Mes,Día_Semana,Latitud,Longitud,Ventas_Totales,Beneficio
1,2023-12-28,América,EEUU,Ciudad_18,Electrónica,Smartphone,Online,Vendedor_12,40,205.01,6.37,105.44,3,Efectivo,2023,Julio,Domingo,49.482,89.8791,7678.03452,3460.43452
2,2021/01/06,África,Nigeria,Ciudad_17,Electrónica,Televisor,Tienda,Vendedor_8,41,726.66,12.71,620.3,3,Transferencia,2021,Abril,Martes,-17.4857,-72.6605,26006.362073999997,574.0620739999977
3,2022-08-21,Asia,Japón,Ciudad_30,Juguetes,Auto de juguete,Distribuidor,Vendedor_9,47,632.85,10.61,564.75,8,Tarjeta,2022,Diciembre,Sábado,3.0356,-1.9972,26588.116905000003,44.86690500000259
4,2021-08-10,África,Nigeria,Ciudad_27,Juguetes,Auto de juguete,Tienda,Vendedor_10,72,580.4,14.6,341.7,6,Transferencia,2021,Octubre,Miércoles,-19.6703,59.8518,35687.6352,11085.2352
5,2023-10-21,África,Nigeria,Ciudad_22,Ropa,Zapatos,Distribuidor,Vendedor_6,80,706.25,23.53,449.59,1,Tarjeta,2023,Febrero,Lunes,-45.109,18.3401,43205.549999999996,7238.3499999999985
6,2021-01-03,América,México,Ciudad_2,Hogar,Mesa,Online,Vendedor_15,8,341.22,21.51,174.96,6,Efectivo,2021,Abril,Sábado,-38.4777,-86.5067,2142.588624,742.9086239999999
7,2021/10/21,América,Brasil,Ciudad_11,Hogar,Mesa,,Vendedor_12,24,$420.86,0.06,309.66,4,Tarjeta,2021,Enero,Miércoles,24.246,-77.377,10094.579615999999,2662.739615999999
8,2021-02-22,África,Sudáfrica,Ciudad_1,Hogar,Cama,Distribuidor,Vendedor_13,78,593.26,27.06,475.95,10,Transferencia,2021,Agosto,Martes,18.7395,67.6803,33752.459832,-3371.640167999998
9,2023-09-05,África,Egipto,Ciudad_5,Alimentos,Cereal,Tienda,Vendedor_9,42,119.34,28.79,72.04,10,Efectivo,2023,Enero,Sábado,17.0561,-49.4066,3569.2445879999996,543.5645879999993
10,2023-05-03,Europa,Francia,Ciudad_26,Electrónica,Auriculares,Distribuidor,Vendedor_4,66,733.54,21.24,375.98,4,Tarjeta,2023,Agosto,Lunes,9.1237,24.8328,38130.582864,13315.902864000003
11,2021-02-01,Asia,India,Ciudad_7,Juguetes,Puzzle,Distribuidor,Vendedor_13,1,125.14,11.54,70.59,9,Transferencia,2021,Abril,Lunes,-31.824,-53.6949,110.69884400000001,40.108844000000005
12,2023-10-02,América,Argentina,Ciudad_19,Juguetes,Puzzle,,Vendedor_11,49,173.9,27.2,153.94,7,Efectivo,2023,Enero,Viernes,38.1437,85.7761,6203.3608,-1339.699199999999
13,2021-02-04,Europa,España,Ciudad_22,Juguetes,Puzzle,Online,Vendedor_9,16,$490.36,8.69,438.09,6,Efectivo,2021,Noviembre,Jueves,-19.4078,68.1223,7163.963456,154.5234560000008
14,2022-02-08,América,,Ciudad_19,Electrónica,Auriculares,Distribuidor,Vendedor_8,60,$170.56,17.66,90.31,5,Tarjeta,2022,Mayo,Sábado,25.4984,-61.5282,8426.34624,3007.7462400000004
15,2022-02-01,Asia,Corea del Sur,Ciudad_2,Juguetes,Pelota,Tienda,Vendedor_7,16,207.06,3.69,154.59,6,Transferencia,2022,Abril,Sábado,11.8182,-5.9251,3190.711776,717.271776
16,2023-04-06,África,Nigeria,Ciudad_14,Hogar,Cama,Online,Vendedor_13,48,218.81,15.79,151.2,7,Efectivo,2023,Mayo,Jueves,-1.1211,-48.1189,8844.475248000002,1586.875248000003
17,2022-12-22,América,EEUU,Ciudad_6,Electrónica,Smartphone,Online,Vendedor_9,19,646.01,26.95,529.36,1,Tarjeta,2022,Julio,Martes,38.5157,-34.1171,8966.295795,-1091.5442050000001
18,2023-06-26,Asia,China,Ciudad_15,Ropa,Zapatos,Online,Vendedor_6,67,,15.42,115.06,3,Efectivo,2023,Abril,Jueves,26.4338,45.7849,11483.325104,3774.305103999999
19,2023-09-11,África,Sudáfrica,Ciudad_3,Alimentos,Cereal,Distribuidor,Vendedor_3,51,410.59,14.47,271.8,7,Transferencia,2023,Agosto,Miércoles,21.326,82.3937,17910.058977,4048.2589769999995
20,2021-07-07,Europa,Francia,Ciudad_29,Juguetes,Auto de juguete,Distribuidor,Vendedor_15,2,253.78,15.71,218.93,8,Transferencia,2021,Febrero,Lunes,22.9464,21.2888,427.822324,-10.037676000000033
21,2023-05-17,Europa,España,Ciudad_7,Juguetes,Pelota,Tienda,Vendedor_12,76,466.28,14.69,347.27,1,Transferencia,2023,Julio,Jueves,6.6095,-6.5826,30231.543567999997,3839.0235680000005
22,2022-01-03,América,Brasil,Ciudad_25,Electrónica,Auriculares,Distribuidor,Vendedor_14,9,604.96,14.55,465.77,6,Efectivo,2022,Septiembre,Jueves,11.3484,-30.4728,4652.444880000001,460.51488000000063
23,2022-01-18,África,Nigeria,Ciudad_7,Ropa,Camisa,Online,Vendedor_8,49,$793.88,20.27,446.43,5,Transferencia,2022,Enero,Miércoles,35.0034,12.8613,31015.065676000002,9139.995676000002
24,2023-02-17,Asia,Corea del Sur,Ciudad_17,Ropa,Zapatos,Distribuidor,Vendedor_9,39,65.99,24.73,41.02,5,Transferencia,2023,Julio,Viernes,13.3314,-21.7748,1937.156247,337.3762469999997
25,2022-06-12,Europa,España,Ciudad_6,Hogar,Silla,Online,Vendedor_8,72,189.53,8.32,167.37,2,Transferencia,2022,Junio,Martes,-42.2614,-8.524,12510.799488,460.15948800000115
26,2021-11-28,África,Marruecos,Ciudad_26,Hogar,Cama,Online,Vendedor_15,57,792.63,6.48,482.88,3,Tarjeta,2021,Agosto,Martes,-12.6212,-28.7804,42252.251831999994,14728.091831999995
27,2023/07/25,Europa,Francia,Ciudad_21,Hogar,Cama,Tienda,Vendedor_13,44,228.19,21.6,168.41,10,Transferencia,2023,Junio,Sábado,21.3821,40.9016,7871.642240000001,461.6022400000011
28,2022/01/04,Asia,China,Ciudad_30,Hogar,Lámpara,Tienda,Vendedor_8,23,210.05,27.04,142.06,2,Tarjeta,2022,Julio,Martes,-14.922,-28.165,3524.8070400000006,257.4270400000005
29,2022-02-05,África,Sudáfrica,Ciudad_5,Alimentos,Queso,,Vendedor_14,77,314.98,8.54,237.85,3,Efectivo,2022,Abril,Jueves,28.388,-33.7337,22182.214516,3867.7645159999993
30,2023-03-06,África,Nigeria,Ciudad_25,Hogar,Silla,Tienda,Vendedor_4,32,567.33,21.84,294.3,6,Transferencia,2023,Enero,Domingo,35.0824,-14.0445,14189.604096000001,4772.004096000001
31,2023-10-20,Asia,Japón,Ciudad_22,Hogar,Silla,Tienda,Vendedor_11,79,766.12,6.83,399.65,8,Efectivo,2023,Junio,Viernes,-40.9453,2.0855,56389.726316,24817.376316
32,2021-03-03,África,Marruecos,Ciudad_23,Juguetes,Pelota,Tienda,Vendedor_7,68,364.85,26.37,248.29,10,Tarjeta,2021,Noviembre,Viernes,-10.7382,-8.4614,18267.45574,1383.73574
33,2022-08-05,América,Brasil,Ciudad_17,Electrónica,Smartphone,Online,Vendedor_3,4,121.75,20.09,65.35,8,Tarjeta,2022,Abril,Lunes,5.8767,-72.2733,389.1617,127.76170000000002
34,2021-08-07,América,EEUU,Ciudad_21,Ropa,Camisa,Distribuidor,Vendedor_6,68,701.03,4.2,488.51,3,Transferencia,2021,Abril,Lunes,29.7944,23.2073,45667.89832,12449.21832
35,2021-04-10,África,Nigeria,Ciudad_5,Alimentos,Cereal,Distribuidor,Vendedor_9,65,625.85,20.26,440.84,3,Transferencia,2021,Marzo,Jueves,-15.9362,-71.2554,32438.43135,3783.8313500000004
36,2022-12-18,África,Nigeria,Ciudad_18,Hogar,Silla,Distribuidor,Vendedor_2,61,221.54,15.82,154.1,5,Tarjeta,2022,Diciembre,Martes,15.823,-93.877,11376.034692,1975.934691999999
37,2021-04-27,Europa,Francia,Ciudad_23,Ropa,Zapatos,Distribuidor,Vendedor_1,18,502.22,22.27,392.26,8,Transferencia,2021,Diciembre,Domingo,-35.5533,-37.4929,7026.760908,-33.91909200000009
38,2022/02/14,Europa,España,Ciudad_2,Ropa,Pantalón,Online,Vendedor_11,60,505.51,28.89,284.61,6,Transferencia,2022,Septiembre,Viernes,39.8045,33.5535,21568.08966,4491.489659999999
39,2021-03-23,África,,Ciudad_28,Electrónica,Smartphone,Online,Vendedor_4,54,269.91,16.14,177.32,9,Transferencia,2021,Julio,Domingo,-32.9188,74.8937,12222.712404000002,2647.432404000003
40,2022-03-12,África,Nigeria,Ciudad_8,Juguetes,Auto de juguete,Distribuidor,Vendedor_5,79,156.72,14.28,90.4,8,Transferencia,2022,Mayo,Lunes,10.5073,72.0356,10612.890335999999,3471.290335999998
41,2023-08-03,Europa,Alemania,Ciudad_1,Ropa,Chaqueta,Online,Vendedor_1,4,162.34,9.39,101.88,5,Transferencia,2023,Junio,Domingo,-8.0648,66.6983,588.385096,180.865096
42,2021/04/05,Asia,Japón,Ciudad_28,Ropa,Pantalón,Online,Vendedor_10,49,,18.99,392.58,5,Transferencia,2021,Agosto,Jueves,6.4909,69.8017,22954.369823,3717.9498230000027
43,2023-10-24,Europa,Francia,Ciudad_15,Alimentos,Queso,,Vendedor_10,51,421.57,7.04,246.71,1,Efectivo,2023,Abril,Martes,-10.8762,-12.7768,19986.465072,7404.255071999998
44,2023-01-13,África,Marruecos,Ciudad_17,Juguetes,Auto de juguete,Tienda,Vendedor_4,31,$183.14,15.98,151.45,2,Transferencia,2023,Noviembre,Lunes,20.7055,-19.6945,4770.101068,75.15106800000012
45,2021-01-05,Asia,China,Ciudad_8,Hogar,Lámpara,Distribuidor,Vendedor_13,64,466.8,21.14,370.55,4,Efectivo,2021,Enero,Jueves,14.8902,-58.7015,23559.58272,-155.6172800000022
46,2022-05-16,América,México,Ciudad_25,Hogar,Silla,Distribuidor,Vendedor_9,70,73.85,20.1,49.85,3,Tarjeta,2022,Septiembre,Sábado,-45.2963,11.2591,4130.4304999999995,640.9304999999995
47,2023-01-02,Asia,China,Ciudad_1,Alimentos,Queso,Online,Vendedor_10,45,293.91,28.42,221.71,8,Efectivo,2023,Octubre,Martes,-15.9608,67.5568,9467.13501,-509.81499000000076
48,2022-05-01,Asia,China,Ciudad_8,Electrónica,Auriculares,Tienda,Vendedor_7,31,$nan,4.88,328.15,10,Transferencia,2022,Noviembre,Martes,40.4351,-91.9577,18680.436072,8507.786072
49,2023-09-28,Europa,Italia,Ciudad_2,Electrónica,Smartphone,,Vendedor_15,77,730.58,7.28,526.06,2,Tarjeta,2023,Julio,Lunes,-21.8981,30.3288,52159.32075200001,11652.700752000012
50,2022-11-15,África,Marruecos,Ciudad_5,Ropa,Pantalón,Tienda,Vendedor_3,59,589.49,1.58,520.67,3,Transferencia,2022,Julio,Viernes,-33.7607,18.904,34230.387422,3510.857422000001
51,2022-07-09,Asia,Japón,Ciudad_21,Electrónica,Smartphone,Distribuidor,Vendedor_3,0,0,17.09,307.33,8,Efectivo,2022,Abril,Jueves,27.4824,-29.3573,8491.31056,2344.7105600000004
52,2022-06-17,América,,Ciudad_22,Alimentos,Pan,Tienda,Vendedor_5,4,778.31,16.44,566.27,5,Tarjeta,2022,Diciembre,Jueves,34.706,-7.6552,2601.423344,336.3433439999999
53,2022-10-17,Europa,,Ciudad_27,Juguetes,Puzzle,Tienda,Vendedor_7,15,406.77,26.94,324.93,7,Tarjeta,2022,Octubre,Jueves,-4.538,92.6395,4457.792429999999,-416.1575700000012
54,2022-03-14,África,Marruecos,Ciudad_30,Alimentos,Queso,Distribuidor,Vendedor_6,22,121.79,19.94,92.52,7,Efectivo,2022,Diciembre,Sábado,-23.6026,-37.4813,2145.111628,109.67162800000028
55,2022-12-13,África,Nigeria,Ciudad_11,Hogar,Lámpara,Distribuidor,Vendedor_1,52,475.89,6.18,257.24,1,Efectivo,2022,Octubre,Miércoles,-32.1369,66.7025,23216.959896,9840.479896
56,2023-06-13,América,Argentina,Ciudad_1,Juguetes,Pelota,Tienda,Vendedor_15,0,99999,10.34,301.03,3,Transferencia,2023,Enero,Lunes,-2.1594,79.5161,5648.284122,1734.8941220000006
57,2022-04-19,África,Egipto,Ciudad_12,Ropa,Chaqueta,Online,Vendedor_6,39,625.87,11.74,462.66,8,Efectivo,2022,Febrero,Viernes,-13.3025,-27.6627,21543.321618,3499.581618
58,2021-08-24,Europa,Francia,Ciudad_7,Alimentos,Leche,Online,Vendedor_10,60,194.33,25.88,142.83,9,Tarjeta,2021,Julio,Domingo,-13.8216,-64.0237,8642.243760000001,72.44376000000011
59,2021/05/13,Europa,Italia,Ciudad_12,Alimentos,Pan,Distribuidor,Vendedor_3,27,794.65,6.52,594.77,8,Transferencia,2021,Diciembre,Martes,11.6843,-95.649,20056.648139999998,3997.8581399999985
60,2021/08/18,América,Brasil,Ciudad_17,Electrónica,Smartphone,Tienda,Vendedor_7,16,65.52,13.88,36.5,8,Transferencia,2021,Mayo,Martes,-42.5288,61.5603,902.8131839999999,318.81318399999986
61,2022/01/05,Asia,India,Ciudad_12,Electrónica,Laptop,,Vendedor_7,17,153.14,9.24,133.24,1,Transferencia,2022,Agosto,Domingo,48.3033,70.6928,2362.8276879999994,97.74768799999947
62,2023/03/14,Asia,China,Ciudad_18,Ropa,Pantalón,Online,Vendedor_1,42,99.59,3.11,80.67,9,Transferencia,2023,Marzo,Miércoles,23.2584,-60.7993,4052.6955419999995,664.5555419999996
63,2022-05-10,América,EEUU,Ciudad_24,Hogar,Mesa,Distribuidor,Vendedor_2,70,603.81,4.11,480.15,7,Transferencia,2022,Agosto,Sábado,-43.6297,25.0731,40529.538629999995,6919.0386299999955
64,2021-12-25,América,EEUU,Ciudad_3,Electrónica,Laptop,Tienda,Vendedor_15,20,759.07,23.28,585.51,9,Tarjeta,2021,Abril,Viernes,24.557,61.0093,11647.170080000002,-63.02991999999904
65,2021/11/28,Europa,,Ciudad_13,Ropa,Zapatos,Distribuidor,Vendedor_11,0,99999,10.03,581.03,9,Efectivo,2021,Septiembre,Lunes,-45.7036,36.9203,3003.6484499999997,98.49845000000005
